codec,language,sample,pesq,stoi,spk_sim
dac,tamil,5,4.490468978881836,0.9932006157323444,0.9933243989944458
dac,tamil,6,4.448428153991699,0.9947935666111444,0.9877598285675049
dac,tamil,7,4.422657012939453,0.9921477598202556,0.9932016730308533
dac,tamil,8,4.525327205657959,0.9942738512818404,0.9891875982284546
dac,tamil,9,4.41742467880249,0.9942792069944671,0.9923075437545776
dac,telugu,0,4.377506256103516,0.9938837731594312,0.9873930215835571
dac,telugu,1,4.46980094909668,0.9887607435749024,0.9863517880439758
dac,telugu,2,4.413938999176025,0.9847346478639556,0.9854390025138855
dac,telugu,3,4.4776740074157715,0.9899206864952428,0.988206148147583
dac,telugu,4,4.518372535705566,0.9934604077851408,0.9875016212463379
dac,telugu,5,4.502852916717529,0.9918457902629152,0.9871446490287781
dac,telugu,6,4.51978063583374,0.9860249370160756,0.98949134349823
dac,telugu,7,4.43988037109375,0.9912022901828282,0.9926851987838745
dac,telugu,8,4.188388824462891,0.9831986573536744,0.9835809469223022
dac,telugu,9,4.496708869934082,0.9890510840708616,0.9883331656455994
dac,bengali,0,4.4708476066589355,0.9945462020215656,0.9909395575523376
dac,bengali,1,4.46372127532959,0.9817566480561792,0.982612133026123
dac,bengali,2,4.480746269226074,0.9923794253323012,0.9867817163467407
dac,bengali,3,4.469250202178955,0.990989690764114,0.9824106693267822
dac,bengali,4,4.4792985916137695,0.9844820351236736,0.9828531742095947
dac,bengali,5,4.479454040527344,0.9866007976200496,0.9803823828697205
dac,bengali,6,4.443974018096924,0.9923168919303956,0.987852931022644
dac,bengali,7,4.468013286590576,0.9903155309888408,0.982079803943634
dac,bengali,8,4.39624547958374,0.9912931915565124,0.9868155717849731
dac,bengali,9,4.424721717834473,0.9882427825921156,0.9826705455780029
dac,kannada,0,4.407924652099609,0.99407496240185,0.9895056486129761
dac,kannada,1,4.540211200714111,0.9957107810641794,0.9889388084411621
dac,kannada,2,4.327708721160889,0.9903961285008004,0.9908164739608765
dac,kannada,3,4.5465006828308105,0.993263277361742,0.9859095811843872
dac,kannada,4,4.298864364624023,0.983795638191534,0.9893445372581482
dac,kannada,5,4.4797210693359375,0.9933625144544456,0.9872250556945801
dac,kannada,6,4.413515090942383,0.9895901773425884,0.9853597283363342
dac,kannada,7,4.533153057098389,0.9957768114604664,0.990928590297699
dac,kannada,8,4.527429103851318,0.9937630043486426,0.9865622520446777
dac,kannada,9,4.465681552886963,0.9900717915501018,0.9864075779914856
snac,hindi,0,2.2728092670440674,0.9184589302733236,0.6902433037757874
snac,hindi,1,2.4810256958007812,0.9264180676730293,0.78287672996521
snac,hindi,2,2.456010580062866,0.9409766075394748,0.777645468711853
snac,hindi,3,2.383272647857666,0.9401396259510232,0.7073906064033508
snac,hindi,4,2.36687970161438,0.9361839658042632,0.7972427606582642
snac,hindi,5,2.56164026260376,0.930131329908138,0.7707791328430176
snac,hindi,6,2.3258838653564453,0.9241915956310078,0.7402596473693848
snac,hindi,7,2.238151788711548,0.9330403709114844,0.797855019569397
snac,hindi,8,2.4415907859802246,0.9304717837956192,0.758461594581604
snac,hindi,9,2.2097842693328857,0.9261746893284836,0.7322049140930176
snac,tamil,0,2.329787015914917,0.8576522249734227,0.787483274936676
snac,tamil,1,1.6989507675170898,0.8374569787322724,0.749468207359314
snac,tamil,2,2.034928560256958,0.8554910034258859,0.6987736821174622
snac,tamil,3,1.6671043634414673,0.7020964444137999,0.6210752725601196
snac,tamil,4,1.944143533706665,0.8800063306859862,0.8261052370071411
snac,tamil,5,2.0503151416778564,0.809197364671263,0.8085271716117859
snac,tamil,6,2.0049567222595215,0.8985583407919279,0.7177446484565735
snac,tamil,7,2.0479769706726074,0.8578382561019385,0.8730676174163818
snac,tamil,8,2.141939878463745,0.8934231503296772,0.6694166660308838
snac,tamil,9,2.03475570678711,0.8634074929316474,0.8080993890762329
snac,telugu,0,1.569735050201416,0.8780560556044683,0.708141565322876
snac,telugu,1,1.966151475906372,0.7515240160890058,0.797046959400177
snac,telugu,2,1.7987515926361084,0.6681587996395024,0.6460931897163391
snac,telugu,3,2.1743435859680176,0.8587831054929987,0.8604730367660522
snac,telugu,4,1.9210739135742188,0.8187323191323654,0.681500256061554
snac,telugu,5,2.225560188293457,0.8047846982304866,0.7944260239601135
snac,telugu,6,1.4874374866485596,0.6288510588133865,0.5857997536659241
snac,telugu,7,1.832199215888977,0.8374445925659446,0.8228422403335571
snac,telugu,8,1.2246060371398926,0.7725539520578535,0.6673780679702759
snac,telugu,9,1.6442911624908447,0.707619166710139,0.736968457698822
snac,bengali,0,2.2351765632629395,0.8893663319923304,0.759403645992279
snac,bengali,1,1.70787250995636,0.6959702776144073,0.6698100566864014
snac,bengali,2,1.663388967514038,0.8058548642065012,0.6988148093223572
snac,bengali,3,1.9648702144622805,0.7936160373093227,0.6614282131195068
snac,bengali,4,1.5374977588653564,0.6376633557789736,0.55712890625
snac,bengali,5,1.3213958740234375,0.683446082695659,0.6809409856796265
snac,bengali,6,1.716275930404663,0.8217615954479953,0.744748592376709
snac,bengali,7,1.0971561670303345,0.6354831855019998,0.15660136938095093
snac,bengali,8,1.6835534572601318,0.8294806288410728,0.6699819564819336
snac,bengali,9,1.5189560651779177,0.729380801405567,0.7188454866409302
snac,kannada,0,1.7037893533706665,0.8724988386486972,0.760171115398407
snac,kannada,1,1.8426940441131592,0.8918122098766295,0.7667704820632935
snac,kannada,2,1.7115737199783323,0.8406237188321698,0.7128793001174927
snac,kannada,3,1.6058107614517212,0.8284317849595091,0.7095046639442444
snac,kannada,4,1.8044672012329104,0.8481827372629733,0.7234911918640137
snac,kannada,5,1.9176145792007449,0.8392225444522692,0.7574170231819153
snac,kannada,6,1.8411333560943604,0.7750887802227535,0.7197479009628296
snac,kannada,7,2.2049050331115723,0.8831030119739187,0.774580717086792
snac,kannada,8,1.8254088163375857,0.8390139395959253,0.7188196182250977
snac,kannada,9,1.6323350667953491,0.745614803455633,0.6071529984474182
